"species_id","key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","extensions","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","stateProvince","year","month","day","eventDate","modified","lastInterpreted","license","identifiers","facts","relations","gadm.level0.gid","gadm.level0.name","gadm.level1.gid","gadm.level1.name","gadm.level2.gid","gadm.level2.name","gadm.level3.gid","gadm.level3.name","collectionKey","isInCluster","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","country","rightsHolder","identifier","recordNumber","municipality","locality","datasetName","gbifID","language","collectionCode","occurrenceID","type","catalogNumber","recordedBy","institutionCode","ownerInstitutionCode","identifiedBy","name","elevation","elevationAccuracy","extensions.http...rs.gbif.org.terms.1.0.Multimedia.http...purl.org.dc.terms.rightsHolder","extensions.http...rs.gbif.org.terms.1.0.Multimedia.http...purl.org.dc.terms.identifier","extensions.http...rs.gbif.org.terms.1.0.Multimedia.http...purl.org.dc.terms.type","extensions.http...rs.gbif.org.terms.1.0.Multimedia.http...purl.org.dc.terms.license","extensions.http...rs.gbif.org.terms.1.0.Multimedia.http...purl.org.dc.terms.format","extensions.http...rs.gbif.org.terms.1.0.Multimedia.http...purl.org.dc.terms.references","extensions.http...rs.gbif.org.terms.1.0.Multimedia.http...purl.org.dc.terms.creator","extensions.http...rs.gbif.org.terms.1.0.Multimedia.http...purl.org.dc.terms.title","individualCount","continent","nomenclaturalStatus","nomenclaturalCode","county","taxonID","bibliographicCitation","collectionID","occurrenceRemarks","extensions.http...rs.tdwg.org.dwc.terms.Identification.http...rs.tdwg.org.dwc.terms.specificEpithet","extensions.http...rs.tdwg.org.dwc.terms.Identification.http...rs.tdwg.org.dwc.terms.identifiedBy","extensions.http...rs.tdwg.org.dwc.terms.Identification.http...rs.tdwg.org.dwc.terms.dateIdentified","extensions.http...rs.tdwg.org.dwc.terms.Identification.http...rs.tdwg.org.dwc.terms.family","extensions.http...rs.tdwg.org.dwc.terms.Identification.http...rs.tdwg.org.dwc.terms.genus","extensions.http...rs.tdwg.org.dwc.terms.Identification.http...rs.tdwg.org.dwc.terms.taxonRank","otherCatalogNumbers","fieldNotes","extensions.http...rs.tdwg.org.ac.terms.Multimedia.http...purl.org.dc.terms.identifier","extensions.http...rs.tdwg.org.ac.terms.Multimedia.http...ns.adobe.com.xap.1.0.rights.Owner","extensions.http...rs.tdwg.org.ac.terms.Multimedia.http...purl.org.dc.terms.rights","extensions.http...rs.tdwg.org.ac.terms.Multimedia.http...purl.org.dc.elements.1.1.type","extensions.http...rs.tdwg.org.ac.terms.Multimedia.http...purl.org.dc.elements.1.1.creator","extensions.http...rs.tdwg.org.ac.terms.Multimedia.http...purl.org.dc.terms.format","extensions.http...rs.tdwg.org.ac.terms.Multimedia.http...rs.tdwg.org.ac.terms.accessURI","extensions.http...rs.tdwg.org.ac.terms.Multimedia.http...rs.tdwg.org.ac.terms.metadataLanguage","typeStatus","references","institutionKey","institutionID","verbatimEventDate","endDayOfYear","preparations","startDayOfYear","identificationRemarks","verbatimElevation","dateIdentified","extensions.http...rs.tdwg.org.dwc.terms.Identification.http...rs.tdwg.org.dwc.terms.typeStatus","habitat","extensions.http...rs.tdwg.org.dwc.terms.Identification.http...rs.tdwg.org.dwc.terms.family.1","extensions.http...rs.tdwg.org.dwc.terms.Identification.http...rs.tdwg.org.dwc.terms.genus.1","extensions.http...rs.tdwg.org.dwc.terms.Identification.http...rs.tdwg.org.dwc.terms.taxonRank.1"
"Asplenium truncorum","1090515804","Asplenium truncorum F.B.Matos, Labiak & Sylvestre",-15.391667,-39.565278,"gass84","bc81e05b-ed51-46ba-a0a4-90fbae9b5545","c6aacf9d-a5a7-4d7f-a6fc-ea0a4b8ec450","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2020-12-25T13:45:24.125+00:00","2020-12-25T13:48:03.689+00:00",237,"8595cd50-87c0-11dc-bb35-b8a03c50a862","none","PRESERVED_SPECIMEN","PRESENT",7616722,6,7707728,7228684,392,6625,2650583,7616722,7616722,"Asplenium truncorum F.B.Matos, Labiak & Sylvestre","Plantae","Tracheophyta","Polypodiales","Aspleniaceae","Asplenium","Asplenium truncorum","Asplenium","truncorum","SPECIES","ACCEPTED","Bahia",2009,8,13,"2009-08-13T00:00:00","2020-07-23T14:58:33.000+00:00","2020-12-25T13:48:03.689+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","BRA","Brazil","BRA.5_1","Bahia","BRA.5.69_1","Camacan","BRA.5.69.1_1","Camacan","2a3c417c-d633-4838-8894-78094cfe5e49",TRUE,"WGS84","Polypodiopsida","BR","none","none","Brazil","CEPEC - Herbário do Centro de Pesquisas do Cacau","BRA:CEPLAC:CEPEC:127936","2751","CAMACAN","RPPN Serra Bonita","CEPEC - Herbário do Centro de Pesquisas do Cacau","1090515804","pt","CEPEC","BRA:CEPLAC:CEPEC:127936","Collection","127936","P.L.R. de Moraes","Comissão Executiva do Plano da Lavoura Cacaueira","Comissão Executiva do Plano da Lavoura Cacaueira","F. Matos","Asplenium truncorum F.B.Matos, Labiak & Sylvestre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asplenium truncorum","1090515841","Asplenium truncorum F.B.Matos, Labiak & Sylvestre",-15.391667,-39.565278,"gass84","bc81e05b-ed51-46ba-a0a4-90fbae9b5545","c6aacf9d-a5a7-4d7f-a6fc-ea0a4b8ec450","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2020-12-25T13:45:24.125+00:00","2020-12-25T13:48:03.699+00:00",237,"8595cd50-87c0-11dc-bb35-b8a03c50a862","none","PRESERVED_SPECIMEN","PRESENT",7616722,6,7707728,7228684,392,6625,2650583,7616722,7616722,"Asplenium truncorum F.B.Matos, Labiak & Sylvestre","Plantae","Tracheophyta","Polypodiales","Aspleniaceae","Asplenium","Asplenium truncorum","Asplenium","truncorum","SPECIES","ACCEPTED","Bahia",2009,8,13,"2009-08-13T00:00:00","2020-07-23T14:58:33.000+00:00","2020-12-25T13:48:03.699+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","BRA","Brazil","BRA.5_1","Bahia","BRA.5.69_1","Camacan","BRA.5.69.1_1","Camacan","2a3c417c-d633-4838-8894-78094cfe5e49",TRUE,"WGS84","Polypodiopsida","BR","none","none","Brazil","CEPEC - Herbário do Centro de Pesquisas do Cacau","BRA:CEPLAC:CEPEC:127953","2768","CAMACAN","RPPN Serra Bonita","CEPEC - Herbário do Centro de Pesquisas do Cacau","1090515841","pt","CEPEC","BRA:CEPLAC:CEPEC:127953","Collection","127953","P.L.R. de Moraes","Comissão Executiva do Plano da Lavoura Cacaueira","Comissão Executiva do Plano da Lavoura Cacaueira","F. Matos","Asplenium truncorum F.B.Matos, Labiak & Sylvestre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asplenium truncorum","1094880402","Asplenium truncorum F.B.Matos, Labiak & Sylvestre",-15.391667,-39.565278,"gass84","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2021-01-08T12:28:19.156+00:00","2021-01-08T12:32:14.401+00:00",238,"8595cd50-87c0-11dc-bb35-b8a03c50a862","none","PRESERVED_SPECIMEN","PRESENT",7616722,6,7707728,7228684,392,6625,2650583,7616722,7616722,"Asplenium truncorum F.B.Matos, Labiak & Sylvestre","Plantae","Tracheophyta","Polypodiales","Aspleniaceae","Asplenium","Asplenium truncorum","Asplenium","truncorum","SPECIES","ACCEPTED","Bahia",2009,8,16,"2009-08-16T00:00:00","2019-10-07T12:38:40.000+00:00","2021-01-08T12:32:14.401+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","BRA","Brazil","BRA.5_1","Bahia","BRA.5.69_1","Camacan","BRA.5.69.1_1","Camacan",NA,FALSE,"WGS84","Polypodiopsida","BR","none","none","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:163319","2768","Camacan","RPPN Serra Bonita.","HUEFS - Herbario da Universidade Estadual de Feira de Santana","1094880402","pt","HUEFS","BRA:UEFS:HUEFS:163319","Collection","163319","Moraes, P.L.R.de","UEFS","Universidade Estadual de Feira de Santana",NA,"Asplenium truncorum F.B.Matos, Labiak & Sylvestre",1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asplenium truncorum","1257656140","Asplenium truncorum F.B.Matos, Labiak & Sylvestre",-15.391667,-39.565278,"cdround,gass84,osiic","7bd65a7a-f762-11e1-a439-00145eb45e9a","90fd6680-349f-11d8-aa2d-b8a03c50a862","c4e134d3-c68f-406d-a116-6a37895602e0","US","DWC_ARCHIVE","2021-01-12T04:45:11.283+00:00","2021-01-12T05:18:09.367+00:00",153,"90fd6680-349f-11d8-aa2d-b8a03c50a862",NA,"PRESERVED_SPECIMEN","PRESENT",7616722,6,7707728,7228684,392,6625,2650583,7616722,7616722,"Asplenium truncorum F.B.Matos, Labiak & Sylvestre","Plantae","Tracheophyta","Polypodiales","Aspleniaceae","Asplenium","Asplenium truncorum","Asplenium","truncorum","SPECIES","ACCEPTED","Bahia",2009,8,13,"2009-08-13T00:00:00",NA,"2021-01-12T05:18:09.367+00:00","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","BRA","Brazil","BRA.5_1","Bahia","BRA.5.69_1","Camacan","BRA.5.69.1_1","Camacan",NA,TRUE,"WGS84","Polypodiopsida","BR","none","none","Brazil","Missouri Botanical Garden","urn:catalog:MO:Tropicos:100306442","Moraes 2751",NA,"RPPN Serra Bonita.","Tropicos","1257656140",NA,"MO","urn:catalog:MO:Tropicos:100306442","PhysicalObject","100306442","Pedro L. R. de Moraes|H. van der Werff|Lukas H. Daneu|R. Perdiz","MO","MOBOT","F. Matos","Asplenium truncorum F.B.Matos, Labiak & Sylvestre",1000,NA,"MBG","http://www.tropicos.org/ImageDownload.aspx?imageid=100759137","StillImage","http://creativecommons.org/licenses/by-nc-sa/3.0/","image/jpeg","http://www.tropicos.org/ImageFullView.aspx?imageid=100759137","MBG","Moraes - 2751 - Brazil",1,"SOUTH_AMERICA","No opinion","ICNafp","Camacan","100364297","http://www.tropicos.org/Specimen/100306442","http://biocol.org/urn:lsid:biocol.org:col:15859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asplenium truncorum","1257656158","Asplenium truncorum F.B.Matos, Labiak & Sylvestre",-15.391667,-39.565278,"cdround,gass84,osiic","7bd65a7a-f762-11e1-a439-00145eb45e9a","90fd6680-349f-11d8-aa2d-b8a03c50a862","c4e134d3-c68f-406d-a116-6a37895602e0","US","DWC_ARCHIVE","2021-01-12T04:45:11.283+00:00","2021-01-12T05:17:01.467+00:00",153,"90fd6680-349f-11d8-aa2d-b8a03c50a862",NA,"PRESERVED_SPECIMEN","PRESENT",7616722,6,7707728,7228684,392,6625,2650583,7616722,7616722,"Asplenium truncorum F.B.Matos, Labiak & Sylvestre","Plantae","Tracheophyta","Polypodiales","Aspleniaceae","Asplenium","Asplenium truncorum","Asplenium","truncorum","SPECIES","ACCEPTED","Bahia",2009,8,13,"2009-08-13T00:00:00",NA,"2021-01-12T05:17:01.467+00:00","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","BRA","Brazil","BRA.5_1","Bahia","BRA.5.69_1","Camacan","BRA.5.69.1_1","Camacan",NA,TRUE,"WGS84","Polypodiopsida","BR","none","none","Brazil","Missouri Botanical Garden","urn:catalog:MO:Tropicos:100306464","Moraes 2768",NA,"RPPN Serra Bonita.","Tropicos","1257656158",NA,"MO","urn:catalog:MO:Tropicos:100306464","PhysicalObject","100306464","Pedro L. R. de Moraes|H. van der Werff|Lukas H. Daneu|R. Perdiz","MO","MOBOT","F. Matos","Asplenium truncorum F.B.Matos, Labiak & Sylvestre",1000,NA,"MBG","http://www.tropicos.org/ImageDownload.aspx?imageid=100759150","StillImage","http://creativecommons.org/licenses/by-nc-sa/3.0/","image/jpeg","http://www.tropicos.org/ImageFullView.aspx?imageid=100759150","MBG","Moraes - 2768 - Brazil",1,"SOUTH_AMERICA","No opinion","ICNafp","Camacan","100364297","http://www.tropicos.org/Specimen/100306464","http://biocol.org/urn:lsid:biocol.org:col:15859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asplenium truncorum","1090514717","Asplenium truncorum F.B.Matos, Labiak & Sylvestre",-15.391667,-39.565278,"gass84","bc81e05b-ed51-46ba-a0a4-90fbae9b5545","c6aacf9d-a5a7-4d7f-a6fc-ea0a4b8ec450","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2020-12-25T13:45:24.125+00:00","2020-12-25T13:48:03.708+00:00",237,"8595cd50-87c0-11dc-bb35-b8a03c50a862","none","PRESERVED_SPECIMEN","PRESENT",7616722,6,7707728,7228684,392,6625,2650583,7616722,7616722,"Asplenium truncorum F.B.Matos, Labiak & Sylvestre","Plantae","Tracheophyta","Polypodiales","Aspleniaceae","Asplenium","Asplenium truncorum","Asplenium","truncorum","SPECIES","ACCEPTED","Bahia",2009,10,22,"2009-10-22T00:00:00","2020-07-23T14:58:33.000+00:00","2020-12-25T13:48:03.708+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","BRA","Brazil","BRA.5_1","Bahia","BRA.5.69_1","Camacan","BRA.5.69.1_1","Camacan","2a3c417c-d633-4838-8894-78094cfe5e49",TRUE,"WGS84","Polypodiopsida","BR","none","none","Brazil","CEPEC - Herbário do Centro de Pesquisas do Cacau","BRA:CEPLAC:CEPEC:126813","1166","CAMACAN","RPPN Serra Bonita. Fazenda Uiraçu. Trilha da Bapeba. Interior da mata.","CEPEC - Herbário do Centro de Pesquisas do Cacau","1090514717","pt","CEPEC","BRA:CEPLAC:CEPEC:126813","Collection","126813","Mynssen, C. M.","Comissão Executiva do Plano da Lavoura Cacaueira","Comissão Executiva do Plano da Lavoura Cacaueira","F. B. Matos","Asplenium truncorum F.B.Matos, Labiak & Sylvestre",890,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Duplicatas: RB.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asplenium truncorum","1424361810","Asplenium truncorum F.B.Matos, Labiak & Sylvestre",-15.391667,-39.565278,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2021-01-09T22:42:48.161+00:00","2021-01-09T23:23:20.871+00:00",330,"838537fc-4aeb-4980-8b58-97fbdcd1d91a",NA,"PRESERVED_SPECIMEN","PRESENT",7616722,6,7707728,7228684,392,6625,2650583,7616722,7616722,"Asplenium truncorum F.B.Matos, Labiak & Sylvestre","Plantae","Tracheophyta","Polypodiales","Aspleniaceae","Asplenium","Asplenium truncorum","Asplenium","truncorum","SPECIES","ACCEPTED","Bahia",2009,10,22,"2009-10-22T00:00:00",NA,"2021-01-09T23:23:20.871+00:00","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","BRA","Brazil","BRA.5_1","Bahia","BRA.5.69_1","Camacan","BRA.5.69.1_1","Camacan",NA,TRUE,"WGS84","Polypodiopsida","BR","none","none","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:651331","1166","Camacan","Serra Bonita. Fazenda Uiraçu. Trilha da Bapeba.","RB - Rio de Janeiro Botanical Garden Herbarium Collection","1424361810",NA,"RB","urn:catalog:JBRJ:RB:651331","Physical Object","RB00651331","Mynssen, C.M.; Matos, F.B.","JBRJ",NA,"F.B. Matos","Asplenium truncorum F.B.Matos, Labiak & Sylvestre",890,NA,"Rio de Janeiro Botanical Garden","imagens3.jbrj.gov.br/fsi/server?type=image&source=rb/0/65/13/31/00651331.jpg","Image","https://creativecommons.org/licenses/by/4.0/legalcode#languages","jpg","http://www.herbariovirtualreflora.jbrj.gov.br/reflora/geral/ExibeFiguraFSIUC/ExibeFiguraFSIUC.do?idFigura=284618808",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Epífita sobre Cyathea, semi-ciófila","truncorum","F.B. Matos","2009-10","Aspleniaceae","Asplenium","sp.","RB 513396","Interior da mata, ás margens da trilha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asplenium truncorum","1928452550","Asplenium truncorum F.B.Matos, Labiak & Sylvestre",-15.3903,-39.5681,"gass84","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862","17017c2c-036b-45d9-b045-606d21b00771","US","DWC_ARCHIVE","2020-12-29T19:52:03.618+00:00","2020-12-29T20:25:59.308+00:00",208,"ae447c50-b8a8-11d8-92a4-b8a03c50a862",NA,"PRESERVED_SPECIMEN","PRESENT",7616722,6,7707728,7228684,392,6625,2650583,7616722,7616722,"Asplenium truncorum F.B.Matos, Labiak & Sylvestre","Plantae","Tracheophyta","Polypodiales","Aspleniaceae","Asplenium","Asplenium truncorum","Asplenium","truncorum","SPECIES","ACCEPTED","Bahia",2008,6,29,"2008-06-29T00:00:00",NA,"2020-12-29T20:25:59.308+00:00","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","BRA","Brazil","BRA.5_1","Bahia","BRA.5.69_1","Camacan","BRA.5.69.1_1","Camacan","b2190553-4505-4fdd-8fff-065c8ca26f72",TRUE,"WGS84","Polypodiopsida","BR","none","none","Brazil","The New York Botanical Garden","30567cca-078a-480d-ae64-dd9dae3e0e6a","1537",NA,"Fazenda Serra Bonita, Reserva Serra Bonita, 9,7 km W de Camacan, na estrada para Jacarecím daí 6 km SW na estrada para RPPN Serra Bonita e Torre da Embratel. Trilha do mirante","Vascular plants","1928452550","en","NY","30567cca-078a-480d-ae64-dd9dae3e0e6a","PhysicalObject","1186062","F. B. Matos","NY",NA,NA,"Asplenium truncorum F.B.Matos, Labiak & Sylvestre",920,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SOUTH_AMERICA",NA,"ICN","Camacan",NA,NA,"http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7cfc73e2-022c-4854-b5f0-49a3dd39e76f","The New York Botanical Garden","https://creativecommons.org/licenses/by/4.0/","StillImage","The New York Botanical Garden","image/jpeg","http://sweetgum.nybg.org/images3/587/442/01186062.jpg","eng","ISOTYPE","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1447777","ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","http://biocol.org/urn:lsid:biocol.org:col:15556","29 Jun 2008","18","sheet","18","Basionym","3018 ft",NA,NA,NA,NA,NA,NA
"Asplenium truncorum","1086674960","Asplenium truncorum F.B.Matos, Labiak & Sylvestre",-15.390278,-39.568056,"gass84","a51fa32f-831d-49d6-8b8a-c7b52ae65b3b","f6e2efc9-42a3-47ea-99c6-3eda8d653cc9","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2021-01-08T12:10:33.251+00:00","2021-01-08T12:11:37.777+00:00",239,"8595cd50-87c0-11dc-bb35-b8a03c50a862","none","PRESERVED_SPECIMEN","PRESENT",7616722,6,7707728,7228684,392,6625,2650583,7616722,7616722,"Asplenium truncorum F.B.Matos, Labiak & Sylvestre","Plantae","Tracheophyta","Polypodiales","Aspleniaceae","Asplenium","Asplenium truncorum","Asplenium","truncorum","SPECIES","ACCEPTED","Bahia",2008,7,29,"2008-07-29T00:00:00","2020-09-29T17:53:10.000+00:00","2021-01-08T12:11:37.777+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","BRA","Brazil","BRA.5_1","Bahia","BRA.5.69_1","Camacan","BRA.5.69.1_1","Camacan","984ad7e0-f17d-4980-9d12-2c3c9509162e",TRUE,"WGS84","Polypodiopsida","BR","none","none","Brazil","UPCB - Herbário do Departamento de Botânica","BRA:UFPR:UPCB:70099","1537","Camacan","Fazenda Serra Bonita, Reserva Serra Bonita, 9,7 km W de Camacan, na estrada para Jacarecí, daí 6 km SW na estrada para RPPN Serra Bonita e Torre da Embratel. Trilha do mirante.","UPCB - Herbário do Departamento de Botânica","1086674960","pt","UPCB","BRA:UFPR:UPCB:70099","Collection","70099","Matos, F.B.","UFPR","Universidade Federal do Paraná","Matos, F.B.","Asplenium truncorum F.B.Matos, Labiak & Sylvestre",920,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Epífita sobre Cyatheaceae (Alsophila setosa) no interior da mata, próximo ao topo do morro. Frondes arqueadas a pendentes. Material em sílica. Floresta Ombrófila Densa.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HOLOTYPE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-01-01T00:00:00",NA,NA,NA,NA,NA
